Customer ID,Country,recency,frequency,monetary,R_score,F_score,M_score,RFM_sum,Segment,churned,first_order_date,last_order_date,cohort_month
12346,United Kingdom,326,12,77556.46,2,5,5,12,At Risk,True,2009-12-14 08:34:00,2011-01-18 10:01:00,2009-12
12347,Iceland,2,8,4921.53,5,4,5,14,Champions,False,2010-10-31 14:20:00,2011-12-07 15:52:00,2010-10
12348,Finland,75,5,1658.3999999999999,3,4,4,11,Potential Loyalists,False,2010-09-27 14:59:00,2011-09-25 13:13:00,2010-09
12349,Italy,19,3,3678.69,5,3,5,13,Loyal Customers,False,2010-04-29 13:20:00,2011-11-21 09:51:00,2010-04
12350,Norway,310,1,294.40000000000003,2,1,2,5,Lost,True,2011-02-02 16:01:00,2011-02-02 16:01:00,2011-02
12351,Unspecified,375,1,300.93,2,1,2,5,Lost,True,2010-11-29 15:23:00,2010-11-29 15:23:00,2010-11
12352,Norway,36,9,1729.54,4,5,4,13,Champions,False,2010-11-12 10:20:00,2011-11-03 14:37:00,2010-11
12353,Bahrain,204,2,406.76,2,2,2,6,Lost,True,2010-10-27 12:44:00,2011-05-19 17:47:00,2010-10
12354,Spain,232,1,1079.4,2,1,3,6,Lost,True,2011-04-21 13:11:00,2011-04-21 13:11:00,2011-04
12355,Bahrain,214,2,947.61,2,2,3,7,Lost,True,2010-05-21 11:59:00,2011-05-09 13:49:00,2010-05
12356,Portugal,23,6,5611.7300000000005,4,4,5,13,Champions,False,2010-10-11 09:42:00,2011-11-17 08:40:00,2010-10
12357,Switzerland,33,2,17437.66,4,2,5,11,New Customers,False,2010-11-16 10:05:00,2011-11-06 16:07:00,2010-11
12358,Austria,2,5,3447.07,5,4,5,14,Champions,False,2009-12-08 07:59:00,2011-12-08 10:26:00,2009-12
12359,Cyprus,58,10,8873.39,4,5,5,14,Champions,False,2009-12-05 13:32:00,2011-10-13 12:47:00,2009-12
12360,Austria,52,6,3612.89,4,4,5,13,Champions,False,2010-02-22 09:32:00,2011-10-18 15:22:00,2010-02
12361,Belgium,287,4,451.25,2,3,2,7,At Risk,True,2010-01-26 14:37:00,2011-02-25 13:51:00,2010-01
12362,Belgium,3,10,4737.2300000000005,5,5,5,15,Champions,False,2011-02-17 10:30:00,2011-12-06 15:40:00,2011-02
12363,Unspecified,110,2,552.0,3,2,2,7,Needs Attention,True,2011-04-11 13:29:00,2011-08-22 10:18:00,2011-04
12364,Belgium,8,4,1208.1,5,3,4,12,Loyal Customers,False,2011-08-19 15:24:00,2011-12-02 10:22:00,2011-08
12365,Cyprus,291,1,320.69,2,1,2,5,Lost,True,2011-02-21 13:51:00,2011-02-21 13:51:00,2011-02
12366,Cyprus,634,1,500.24,1,1,2,4,Lost,True,2010-03-16 10:28:00,2010-03-16 10:28:00,2010-03
12367,Denmark,4,1,150.9,5,1,1,7,New Customers,False,2011-12-05 16:48:00,2011-12-05 16:48:00,2011-12
12368,Cyprus,628,1,917.7,1,1,3,5,Lost,True,2010-03-21 15:56:00,2010-03-21 15:56:00,2010-03
12369,Austria,413,3,1511.15,1,3,4,8,At Risk,True,2010-03-08 08:09:00,2010-10-22 13:13:00,2010-03
12370,Austria,51,7,3956.56,4,4,5,13,Champions,False,2010-02-09 09:41:00,2011-10-19 14:51:00,2010-02
12371,Switzerland,60,4,3347.38,3,3,5,11,Potential Loyalists,False,2010-03-04 18:23:00,2011-10-11 10:43:00,2010-03
12372,Denmark,72,3,1196.04,3,3,3,9,Potential Loyalists,False,2011-02-16 12:46:00,2011-09-29 12:12:00,2011-02
12373,Austria,311,3,927.6500000000001,2,3,3,8,At Risk,True,2010-02-04 12:08:00,2011-02-01 13:10:00,2010-02
12374,Austria,25,3,2669.2200000000003,4,3,4,11,Loyal Customers,False,2010-04-30 14:01:00,2011-11-14 15:37:00,2010-04
12375,Finland,11,2,377.5,5,2,2,9,New Customers,False,2011-09-02 14:23:00,2011-11-29 10:36:00,2011-09
